Bacterial Species	Gene hits to species
f__Lactobacillaceae;g__Lactobacillus_B;s__Lactobacillus_B_animalis	cse
f__Massilibacillaceae;g__MGYG-HGUT-00100;s__MGYG-HGUT-00100	cysK
f__Peptostreptococcaceae;g__Terrisporobacter;s__MGYG-HGUT-00102	mgl
f__Clostridiaceae;g__Clostridium;s__MGYG-HGUT-00104	fn0625
f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_clarus	cysK
f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D_gallinarum	cse
f__Enterobacteriaceae;g__Klebsiella_A;s__Klebsiella_A_oxytoca	cse,cyd,cysK,cysM,iscS,malY,metC,mst,tnaA,yhaM
f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_freundii	cyd,cysK,cysM,iscS,malY,metC,mgl,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Kluyvera;s__MGYG-HGUT-00110	cyd,cysK,cysM,iscS,malY,metC,mst,yhaM,yhaO
f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium_acnes	yhaO
f__Clostridiaceae;g__Clostridium_J;s__MGYG-HGUT-00115	mgl
f__Exiguobacteraceae;g__Exiguobacterium_A;s__MGYG-HGUT-00116	cse
f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_epidermidis	cbs,cse
f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_pasteurii	cyd,cysK,cysM,iscS,malY,metC,mgl,mst,yhaM,yhaO
f__Clostridiaceae;g__Clostridium_B;s__Clostridium_B_tyrobutyricum	cse
f__Anaerovoracaceae;g__MGYG-HGUT-00126;s__MGYG-HGUT-00126	cysK
f__Acutalibacteraceae;g__Marseille-P4683;s__Marseille-P4683_sp900232885	fn1055
f__Lachnospiraceae;g__Murimonas;s__Murimonas_intestini	cysK
f__Lachnospiraceae;g__Hungatella;s__MGYG-HGUT-00145	fn0625
f__Bacillaceae;g__Bacillus;s__Bacillus_paralicheniformis	cse
f__Clostridiaceae;g__Clostridium;s__Clostridium_saudiense	fn1055
f__Clostridiaceae;g__Clostridium;s__Clostridium_paraputrificum	fn1055
f__Lachnospiraceae;g__Hungatella;s__MGYG-HGUT-00152	fn0625
f__Lactobacillaceae;g__Weissella;s__Weissella_confusa	cse
f__Peptostreptococcaceae;g__Paeniclostridium;s__Paeniclostridium_sordellii	tnaA
f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B_durans	cse
f__Lachnospiraceae;g__MGYG-HGUT-00164;s__MGYG-HGUT-00164	fn0625
f__Lactobacillaceae;g__Lactobacillus_H;s__Lactobacillus_H_fermentum	cse
f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M_lavalense	fn0625
f__Lachnospiraceae;g__Clostridium_M;s__MGYG-HGUT-00179	fn0625
f__Bacillaceae_C;g__Bacillus_E;s__Bacillus_E_coagulans	cse
f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii_E	cysK
f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M_citroniae	fn0625
f__Lachnospiraceae;g__Blautia_A;s__Blautia_A_sp900066145	cse
f__Lachnospiraceae;g__CAG-81;s__CAG-81_sp900066535	cysK
f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_sp003545565	cysK
f__Burkholderiaceae;g__Duodenibacillus;s__MGYG-HGUT-00225	iscS
f__Streptococcaceae;g__Lactococcus;s__Lactococcus_lactis	cse
f__Bacillaceae;g__Bacillus;s__Bacillus_sonorensis	cse
f__Lachnospiraceae;g__Dorea;s__Dorea_sp000433215	fn0625
f__Streptococcaceae;g__Lactococcus;s__Lactococcus_petauri	cse
f__Lachnospiraceae;g__CAG-81;s__CAG-81_sp900066785	cysK
f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_kobei	cse,cyd,cysK,cysM,iscS,malY,metC,mst,yhaM,yhaO
f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D_casseliflavus	cse
f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M_sp000431375	fn0625
f__Lachnospiraceae;g__Roseburia;s__MGYG-HGUT-00245	cse
f__Lactobacillaceae;g__Weissella;s__Weissella_cibaria	cse
f__Lachnospiraceae;g__CAG-81;s__CAG-81_sp900066055	cysK
f__Atopobiaceae;g__Olsenella_B;s__Olsenella_B_sp000752675	cse
f__Exiguobacteraceae;g__Exiguobacterium;s__MGYG-HGUT-00264	cse
f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena_sp900066545	cse
f__Megasphaeraceae;g__Caecibacter;s__MGYG-HGUT-00276	mgl
f__Lachnospiraceae;g__Hungatella_A;s__MGYG-HGUT-00278	fn0625
f__Acutalibacteraceae;g__Clostridium_E;s__Clostridium_E_sporosphaeroides	cse
f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D_parainfluenzae	cysK,iscS,metC,yhaM
f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D_sp002850555	cse
f__Lachnospiraceae;g__CAG-95;s__MGYG-HGUT-00325	cse
f__Enterobacteriaceae;g__Morganella;s__Morganella_morganii_B	cyd,cysK,cysM,iscS,malY,mgl,yhaM,yhaO
f__Acutalibacteraceae;g__Clostridium_E;s__MGYG-HGUT-00340	cse
f__Burkholderiaceae;g__Oxalobacter;s__MGYG-HGUT-00342	iscS
f__Burkholderiaceae;g__CAG-521;s__MGYG-HGUT-00351	iscS
f__UBA1829;g__UBA1829;s__MGYG-HGUT-00360	cysK
f__Ruminococcaceae;g__CAG-115;s__CAG-115_sp003531585	cysK
f__Lachnospiraceae;g__MGYG-HGUT-00378;s__MGYG-HGUT-00378	cse
f__Acutalibacteraceae;g__MGYG-HGUT-00388;s__MGYG-HGUT-00388	cysK
f__Lachnospiraceae;g__Roseburia;s__MGYG-HGUT-00389	cse
f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio_sp000431835	cse
f__Lachnospiraceae;g__Acetatifactor;s__MGYG-HGUT-00417	cysK
f__Ruminococcaceae;g__CAG-353;s__MGYG-HGUT-00424	cysK,fn1055
f__Oscillospiraceae;g__Oscillibacter;s__MGYG-HGUT-00439	mgl
f__Ruminococcaceae;g__MGYG-HGUT-00450;s__MGYG-HGUT-00450	cysK
f__CAG-314;g__CAG-314;s__MGYG-HGUT-00458	tnaA
f__Brachyspiraceae;g__Brachyspira;s__Brachyspira_pilosicoli	fn0625,tnaA
f__Burkholderiaceae;g__Duodenibacillus;s__MGYG-HGUT-00475	iscS
f__Ruminococcaceae;g__CAG-115;s__MGYG-HGUT-00487	cysK
f__MGYG-HGUT-00495;g__MGYG-HGUT-00495;s__MGYG-HGUT-00495	cysK
f__Oscillospiraceae;g__CAG-110;s__MGYG-HGUT-00500	cysK
f__Brachyspiraceae;g__Brachyspira;s__Brachyspira_sp000431595	fn0625
f__Helicobacteraceae;g__Helicobacter_B;s__Helicobacter_B_fennelliae	cse
f__Ruminococcaceae;g__MGYG-HGUT-00517;s__MGYG-HGUT-00517	cse
f__Burkholderiaceae;g__Duodenibacillus;s__MGYG-HGUT-00525	iscS
f__CAG-138;g__PeH17;s__PeH17_sp000435055	mgl
f__Fusobacteriaceae;g__Cetobacterium_A;s__MGYG-HGUT-00536	fn1220,fn1419
f__UBA1829;g__UBA1829;s__MGYG-HGUT-00538	cse
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-00548	iscS
f__Burkholderiaceae;g__CAG-521;s__MGYG-HGUT-00552	iscS
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-00557	iscS
f__Megasphaeraceae;g__Caecibacter;s__MGYG-HGUT-00558	mgl,yhaM
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-00560	cysK,iscS
f__Ruminococcaceae;g__CAG-115;s__CAG-115_sp003507295	cysK
f__Burkholderiaceae;g__Duodenibacillus;s__MGYG-HGUT-00564	iscS
f__Burkholderiaceae;g__CAG-521;s__CAG-521_sp000437635	iscS
f__Streptococcaceae;g__Lactococcus;s__Lactococcus_garvieae	cse
f__Ruminococcaceae;g__Faecalibacterium;s__MGYG-HGUT-00589	cysK
f__Lachnospiraceae;g__CAG-791;s__CAG-791_sp000431495	cysK
f__UBA1829;g__UBA1829;s__MGYG-HGUT-00604	cse,cysK
f__Eggerthellaceae;g__Senegalimassilia;s__MGYG-HGUT-00611	mgl
f__Megasphaeraceae;g__Megasphaera;s__MGYG-HGUT-00612	yhaM,yhaO
f__Lachnospiraceae;g__Blautia_A;s__MGYG-HGUT-00623	cse
f__Burkholderiaceae;g__Duodenibacillus;s__MGYG-HGUT-00624	iscS
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-00632	cysM,iscS
f__Rhodocyclaceae;g__MGYG-HGUT-00634;s__MGYG-HGUT-00634	iscS
f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E_fragi_B	cysK,cysM,iscS
f__Oscillospiraceae;g__CAG-83;s__MGYG-HGUT-00703	fn1419
f__Fusobacteriaceae;g__Fusobacterium_B;s__MGYG-HGUT-00712	fn1419
f__Burkholderiaceae;g__Duodenibacillus;s__MGYG-HGUT-00717	iscS
f__CAG-138;g__MGYG-HGUT-00718;s__MGYG-HGUT-00718	mgl
f__Oscillospiraceae;g__F23-B02;s__MGYG-HGUT-00729	fn1419
f__Oscillospiraceae;g__Ruminiclostridium_C;s__MGYG-HGUT-00739	cse
f__Porphyromonadaceae;g__Porphyromonas;s__MGYG-HGUT-00763	mgl
f__Streptococcaceae;g__Lactococcus;s__Lactococcus_lactis_E	cse
f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium_nucleatum_E	cse,fn1055,fn1220,fn1419
f__Burkholderiaceae;g__Turicimonas;s__Turicimonas_muris	iscS
f__Fusobacteriaceae;g__Fusobacterium_B;s__MGYG-HGUT-00800	fn1419
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-00804	iscS
f__Oscillospiraceae;g__Oscillibacter;s__MGYG-HGUT-00808	fn1419,mgl
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-00810	iscS
f__Burkholderiaceae;g__CAG-521;s__MGYG-HGUT-00814	iscS
f__Clostridiaceae;g__Clostridium_X;s__MGYG-HGUT-00816	mgl,tnaA
f__Atopobiaceae;g__MGYG-HGUT-00819;s__MGYG-HGUT-00819	cse
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-00821	iscS
f__Lactobacillaceae;g__Lactobacillus_K;s__Lactobacillus_K_farciminis_A	cse
f__Muribaculaceae;g__Duncaniella;s__MGYG-HGUT-00825	cysK
f__Acutalibacteraceae;g__MGYG-HGUT-00831;s__MGYG-HGUT-00831	fn1055
f__Oscillospiraceae;g__Oscillibacter;s__MGYG-HGUT-00837	fn1419,mgl
f__Clostridiaceae;g__Clostridium;s__MGYG-HGUT-00839	cse,fn0625,fn1055
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-00840	iscS
f__Burkholderiaceae;g__CAG-521;s__MGYG-HGUT-00850	iscS
f__Pasteurellaceae;g__Haemophilus_D;s__MGYG-HGUT-00860	cysK,iscS,yhaM
f__Atopobiaceae;g__Olsenella_B;s__MGYG-HGUT-00861	cse
f__Porphyromonadaceae;g__Porphyromonas;s__MGYG-HGUT-00873	mgl
f__Oscillospiraceae;g__CAG-83;s__MGYG-HGUT-00877	fn1419
f__Oscillospiraceae;g__CAG-103;s__CAG-103_sp900317855	cysK
f__Clostridiaceae;g__Clostridium;s__Clostridium_neonatale	cse
f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A_sp900015295	fn1419
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-00918	iscS
f__Cellulosilyticaceae;g__Niameybacter;s__MGYG-HGUT-00919	cse
f__CAG-314;g__CAG-314;s__CAG-314_sp000437915	tnaA
f__Peptostreptococcaceae;g__GCA-900066495;s__MGYG-HGUT-00951	fn0625,iscS
f__CAG-138;g__PeH17;s__MGYG-HGUT-00965	mgl
f__Acutalibacteraceae;g__UBA737;s__MGYG-HGUT-00992	cse
f__Pasteurellaceae;g__Haemophilus_D;s__MGYG-HGUT-00993	cysK,iscS,metC,yhaM
f__Peptostreptococcaceae;g__Intestinibacter;s__MGYG-HGUT-01007	iscS,mgl
f__Porphyromonadaceae;g__Porphyromonas;s__MGYG-HGUT-01012	mgl
f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E_putida_P	cysK,iscS
f__Oscillospiraceae;g__UBA1777;s__MGYG-HGUT-01049	fn1055
f__Succinivibrionaceae;g__Succinivibrio;s__MGYG-HGUT-01054	cse
f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_somerae	mgl
f__Pasteurellaceae;g__Haemophilus_A;s__Haemophilus_A_sputorum	cysK
f__Lachnospiraceae;g__CAG-411;s__CAG-411_sp000437275	cse
f__Lactobacillaceae;g__Lactobacillus_H;s__Lactobacillus_H_oris	yhaO
f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_haemolyticus_A	cbs,cse
f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D_parainfluenzae_L	cysK,iscS,metC,yhaM
f__Enterobacteriaceae;g__Citrobacter_A;s__MGYG-HGUT-01091	cyd,cysM,decR,iscS,malY,metC,mst,tnaA,yhaM,yhaO
f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium_lindanitolerans	cse
f__Rhodocyclaceae;g__Dechloromonas;s__MGYG-HGUT-01094	cysM,iscS
f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium_gambrini	cse
f__Lactobacillaceae;g__Weissella;s__Weissella_viridescens	cse
f__Pasteurellaceae;g__Haemophilus_D;s__MGYG-HGUT-01112	cysK,iscS,metC,yhaM
f__Burkholderiaceae;g__Duodenibacillus;s__MGYG-HGUT-01113	iscS
f__Lachnospiraceae;g__CAG-303;s__CAG-303_sp000437755	cysK
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-01147	iscS
f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A_varium_A	fn1419
f__Fusobacteriaceae;g__Fusobacterium_B;s__MGYG-HGUT-01149	fn1419
f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium_sp000235465	fn1055,fn1220,fn1419
f__Oscillospiraceae;g__UBA5446;s__MGYG-HGUT-01174	fn1419
f__Enterococcaceae;g__Enterococcus_C;s__Enterococcus_C_dispar	cse
f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_uenonis_A	mgl
f__Oscillospiraceae;g__UBA1777;s__MGYG-HGUT-01243	fn1055
f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii_F	cysK
f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_johnsonii	cysM,iscS
f__Caulobacteraceae;g__Caulobacter;s__MGYG-HGUT-01261	cse
f__Burkholderiaceae;g__Acidovorax_D;s__Acidovorax_D_sp000302535	cysM,iscS
f__Burkholderiaceae;g__Acidovorax_D;s__Acidovorax_D_temperans	cysM,iscS,mgl
f__Enterobacteriaceae;g__Atlantibacter;s__Atlantibacter_hermannii	cyd,cysK,cysM,iscS,malY,metC,mst,tnaA
f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_limosum	cysK
f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E_fulva	cysM,mgl
f__Megasphaeraceae;g__28L;s__28L_sp000177555	yhaM,yhaO
f__Burkholderiaceae;g__Parasutterella;s__Parasutterella_excrementihominis	iscS
f__Listeriaceae;g__Listeria;s__Listeria_grayi	cse
f__Enterobacteriaceae;g__Providencia;s__Providencia_stuartii_B	cyd,cysK,cysM,fn1419,iscS,metC,tnaA,yhaM
f__Clostridiaceae;g__Clostridium_F;s__Clostridium_F_botulinum_A	cse,mgl
f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M_sp000155435	fn0625
f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella_multacida	cysK
f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_portucalensis_A	cyd,cysK,cysM,iscS,malY,metC,mgl,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_cancerogenus	cse,cyd,cysK,cysM,iscS,malY,metC,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Providencia;s__Providencia_rettgeri_D	cyd,cysK,cysM,iscS,metC,mgl,tnaA,yhaM,yhaO
f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium_periodonticum_D	cse,fn0625,fn1220,fn1419
f__Fusobacteriaceae;g__Fusobacterium_C;s__Fusobacterium_C_gonidiaformans	fn1419
f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium_animalis	fn0625,fn1055,fn1220,fn1419
f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A_ulcerans	fn1419
f__Helicobacteraceae;g__Helicobacter_A;s__Helicobacter_A_rappini	cse
f__Burkholderiaceae;g__Oxalobacter;s__Oxalobacter_formigenes_A	iscS
f__Ruminococcaceae;g__Massilioclostridium;s__Massilioclostridium_methylpentosum	fn1055
f__Lactobacillaceae;g__Lactobacillus_G;s__Lactobacillus_G_hilgardii	cse
f__Lactobacillaceae;g__Lactobacillus_H;s__MGYG-HGUT-01336	cse
f__Acetomicrobiaceae;g__Acetomicrobium;s__Acetomicrobium_hydrogeniformans	iscS
f__Lactobacillaceae;g__Weissella;s__Weissella_paramesenteroides	cse
f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc_mesenteroides	cse
f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_junii	cysK,cysM,iscS
f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_radioresistens	cysM,iscS
f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	cysK
f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium_vincentii	fn0625,fn1055,fn1220,fn1419
f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium_periodonticum_B	cse,fn0625,fn1220,fn1419
f__Enterobacteriaceae;g__Edwardsiella;s__Edwardsiella_tarda	cysK,iscS,tnaA,yhaM,yhaO
f__Helcococcaceae;g__Anaerococcus;s__Anaerococcus_hydrogenalis	fn1419
f__Helicobacteraceae;g__Helicobacter;s__Helicobacter_pylori_C	cse
f__Burkholderiaceae;g__Sutterella;s__Sutterella_wadsworthensis_B	cysM,iscS
f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_delbrueckii	cse
f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus_lautus	cse
f__Ruminococcaceae;g__Ruminococcus_F;s__Ruminococcus_F_champanellensis	cysK,fn1055
f__Dysgonomonadaceae;g__Dysgonomonas;s__Dysgonomonas_gadei	cysK
f__Dysgonomonadaceae;g__Dysgonomonas;s__Dysgonomonas_mossii	cysK
f__Neisseriaceae;g__Neisseria;s__Neisseria_macacae	iscS
f__Burkholderiaceae;g__Ralstonia;s__Ralstonia_pickettii	cysM,iscS
f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A_indistinctus	cysK
f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M_clostridioforme	fn0625
f__Desulfitobacteriaceae;g__Desulfitobacterium;s__Desulfitobacterium_hafniense	cse,tnaA
f__Domibacillaceae_A;g__Bacillus_O;s__Bacillus_O_smithii	cse
f__Enterobacteriaceae;g__Hafnia;s__Hafnia_paralvei	cysK,cysM,fn1419,iscS,malY,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Yokenella;s__Yokenella_regensburgei	cse,cyd,cysK,cysM,iscS,malY,metC,mgl,mst,yhaM,yhaO
f__Burkholderiaceae;g__Sutterella;s__Sutterella_parvirubra	iscS
f__Amphibacillaceae;g__Oceanobacillus;s__Oceanobacillus_massiliensis	cse
f__Paenibacillaceae;g__Paenibacillus_L;s__Paenibacillus_L_senegalensis	cse
f__Bacillaceae_L;g__Bacillus_Q;s__Bacillus_Q_timonensis	cse,mgl
f__Planococcaceae;g__Kurthia;s__Kurthia_massiliensis	cse
f__Clostridiaceae;g__Clostridium_J;s__Clostridium_J_senegalense	mgl
f__Burkholderiaceae;g__Sutterella;s__Sutterella_wadsworthensis_A	iscS
f__Bacillaceae_A;g__Bacillus_V;s__Bacillus_V_massiliosenegalensis	cse,fn1419
f__Burkholderiaceae;g__Noviherbaspirillum;s__Noviherbaspirillum_massiliense	cysM,iscS
f__Clostridiaceae;g__Clostridium;s__Clostridium_celatum	fn1055
f__Helcococcaceae;g__Anaerococcus;s__Anaerococcus_senegalensis	fn1419
f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A_senegalensis	mgl
f__Enterobacteriaceae;g__Metakosakonia;s__Metakosakonia_massiliensis	cse,cyd,cysK,cysM,malY,metC,mst,tnaA
f__Bacillaceae_A;g__Bacillus_AD;s__Bacillus_AD_massilioanorexius	cse,fn1419
f__Helicobacteraceae;g__Helicobacter;s__Helicobacter_pylori_BU	cse
f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C_cinaedi	cse
f__Paenibacillaceae;g__Paenibacillus_F;s__Paenibacillus_F_sp000411255	cse
f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_schleiferi	cbs,cse
f__Planococcaceae;g__Paenisporosarcina_A;s__Paenisporosarcina_A_sp000411295	cse
f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus_intestini	cse
f__Streptomycetaceae;g__Streptomyces;s__Streptomyces_albus	cse
f__Enterobacteriaceae;g__Cedecea;s__Cedecea_davisae	cse,cyd,cysK,cysM,iscS,malY,metC,mst
f__Paenibacillaceae;g__Paenibacillus_P;s__Paenibacillus_P_antibioticophila	cse
f__Aneurinibacillaceae;g__Aneurinibacillus;s__Aneurinibacillus_aneurinilyticus	cse
f__Pseudomonadaceae;g__Pseudomonas_B;s__Pseudomonas_B_luteola	cysK,cysM,iscS
f__Fusobacteriaceae;g__Cetobacterium_A;s__Cetobacterium_A_somerae	fn1419
f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium_nucleatum	fn0625,fn1055,fn1220,fn1419
f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia_dakarense	iscS,mgl
f__Helicobacteraceae;g__Helicobacter_B;s__Helicobacter_B_macacae	cse
f__Helicobacteraceae;g__Helicobacter_B;s__Helicobacter_B_canis	cse
f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium_polymorphum	cse,fn0625,fn1055,fn1220,fn1419
f__Enterobacteriaceae;g__Providencia;s__Providencia_alcalifaciens_A	cyd,cysK,cysM,fn1419,iscS,metC,tnaA,yhaM,yhaO
f__Enterobacteriaceae;g__Providencia;s__Providencia_alcalifaciens	cyd,cysK,cysM,iscS,metC,mgl,tnaA,yhaM,yhaO
f__Acutalibacteraceae;g__Clostridium_E;s__Clostridium_E_jeddahense	cse
f__Bacillaceae_A;g__Bacillus_W;s__Bacillus_W_jeddahensis	cse
f__Amphibacillaceae;g__Virgibacillus;s__Virgibacillus_massiliensis	cse
f__Amphibacillaceae;g__Oceanobacillus;s__Oceanobacillus_jeddahense	fn1419
f__Bacillaceae_A;g__Bacillus_W;s__Bacillus_W_rubiinfantis	cse
f__Acutalibacteraceae;g__MS4;s__MS4_sp000752215	cse,fn0625
f__Clostridiaceae;g__Clostridium_L;s__Clostridium_L_amazonitimonense	fn1419
f__Bacillaceae_A;g__Bacillus_D;s__Bacillus_D_sp000821085	cse
f__Planococcaceae;g__Planomicrobium;s__Planomicrobium_massiliensis	cse
f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E_massiliensis	cse,cyd,cysK,cysM,iscS
f__Thermoactinomycetaceae;g__Risungbinella;s__Risungbinella_massiliensis	cse
f__Burkholderiaceae;g__Dakarella;s__Dakarella_massiliensis	iscS
f__Helcococcaceae;g__Anaerococcus;s__Anaerococcus_sp001182725	fn1419
f__Bacillaceae_A;g__Bacillus_AD;s__Bacillus_AD_testis	cse
f__Caldibacillaceae;g__Bacillus_J;s__Bacillus_J_andreraoultii	cse
f__Dysgonomonadaceae;g__Fermentimonas;s__Fermentimonas_massiliensis	cysK
f__Tepidimicrobiaceae;g__Mt11;s__Mt11_sp001282665	mgl
f__Helcococcaceae;g__Kallipyga;s__Kallipyga_gabonensis	mgl
f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus_ihuae	cse
f__Halobacillaceae;g__Thalassobacillus;s__Thalassobacillus_sp001368835	cse,fn1419
f__Novibacillaceae;g__Numidum;s__Numidum_massiliense	cse
